da027f5272f2e24d249d4bd37c3086e815c6a358,MODIFY,regular-file,node_modules/@angular/cli/node_modules/ansi-colors/package 2.json,3205,24
da027f5272f2e24d249d4bd37c3086e815c6a358,MODIFY,regular-file,node_modules/@angular/cli/node_modules/ansi-colors/package.json,3205,24
4e466b9a4835039ea45b2a42e728bbc9bbb0627d,MODIFY,regular-file,node_modules/@angular/cli/node_modules/uuid/package 2.json,5091,24
4e466b9a4835039ea45b2a42e728bbc9bbb0627d,MODIFY,regular-file,node_modules/@angular/cli/node_modules/uuid/package.json,5091,24
604f71d95e077695e23793b0298e437e75cb43f3,MODIFY,regular-file,node_modules/@angular/cli/package 2.json,2730,25
604f71d95e077695e23793b0298e437e75cb43f3,MODIFY,regular-file,node_modules/@angular/cli/package.json,2730,25
016be6e33ef32cf2354f42fe4d1e810bdf09feb8,MODIFY,executable,node_modules/@angular/common/package 2.json,3155,25
016be6e33ef32cf2354f42fe4d1e810bdf09feb8,MODIFY,executable,node_modules/@angular/common/package.json,3155,25
2056a4af32d19a6d2f5f780a2d9078c7bd7b2d33,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/ansi-regex/package 2.json,2035,24
2056a4af32d19a6d2f5f780a2d9078c7bd7b2d33,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/ansi-regex/package.json,2035,24
e5054612d7b408675548be4d75a1ce341eae1e60,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/ansi-styles/package 2.json,2291,24
e5054612d7b408675548be4d75a1ce341eae1e60,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/ansi-styles/package.json,2291,24
d523bf43c772f4cf8f0249250a42385a58c23e4d,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/cliui/package 2.json,2208,24
d523bf43c772f4cf8f0249250a42385a58c23e4d,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/cliui/package.json,2208,24
783dd4460cbc35133afc928e86baae61f1ddb249,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/color-convert/package 2.json,1997,24
783dd4460cbc35133afc928e86baae61f1ddb249,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/color-convert/package.json,1997,24
50780b88ee5ad0832fdd8f0e3267e23d6ca59731,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/color-name/package 2.json,1536,24
50780b88ee5ad0832fdd8f0e3267e23d6ca59731,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/color-name/package.json,1536,24
b369c5e0761f95f7234db808688dec91a9b3ffaa,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/emoji-regex/package 2.json,2221,24
b369c5e0761f95f7234db808688dec91a9b3ffaa,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/emoji-regex/package.json,2221,24
63ec59ffeb5b9d2802603d53bb0b6f2afe2f19c9,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/find-up/package 2.json,2010,24
63ec59ffeb5b9d2802603d53bb0b6f2afe2f19c9,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/find-up/package.json,2010,24
d431142d68bf9ec80ba481f22ee600cd259125ac,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/is-fullwidth-code-point/package 2.json,2066,24
d431142d68bf9ec80ba481f22ee600cd259125ac,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/is-fullwidth-code-point/package.json,2066,24
f8e0b77350fef7ac36dd6ad7feb06e3ab07809f5,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/locate-path/package 2.json,1911,24
f8e0b77350fef7ac36dd6ad7feb06e3ab07809f5,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/locate-path/package.json,1911,24
1ff08f57284874e2ffae630a6170fc6eee032c8a,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/p-locate/package 2.json,2058,24
1ff08f57284874e2ffae630a6170fc6eee032c8a,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/p-locate/package.json,2058,24
35dae35dd19282e3eb3ca8e619d93b2e25fb61cc,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/path-exists/package 2.json,1788,24
35dae35dd19282e3eb3ca8e619d93b2e25fb61cc,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/path-exists/package.json,1788,24
66540d059b748be875933438d0eed0de6aee1964,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/semver/package 2.json,1570,24
66540d059b748be875933438d0eed0de6aee1964,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/semver/package.json,1570,24
426a705dbab8773edae10a5399f125ec0b322ba3,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/source-map/package 2.json,4935,24
426a705dbab8773edae10a5399f125ec0b322ba3,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/source-map/package.json,4935,24
6f0e535e3082312d987d07825d68fd14843b60b6,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/string-width/package 2.json,2237,26
6f0e535e3082312d987d07825d68fd14843b60b6,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/string-width/package.json,2237,26
caf57d49341119fe12345e9a77c827fa9a953e22,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/strip-ansi/package 2.json,2061,26
caf57d49341119fe12345e9a77c827fa9a953e22,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/strip-ansi/package.json,2061,26
037b55d58d0f5a793dec4da59150dea6af42d3f6,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/wrap-ansi/package 2.json,2128,24
037b55d58d0f5a793dec4da59150dea6af42d3f6,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/wrap-ansi/package.json,2128,24
b2868c0db7d2a868dce6c2cbe6df94e63fecb500,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/yargs-parser/package 2.json,2059,24
b2868c0db7d2a868dce6c2cbe6df94e63fecb500,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/yargs-parser/package.json,2059,24
72d53d3b651b914e308a8299586d0863a7390ee0,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/yargs/package 2.json,2580,24
72d53d3b651b914e308a8299586d0863a7390ee0,MODIFY,regular-file,node_modules/@angular/compiler-cli/node_modules/yargs/package.json,2580,24
1982a03d2d03ca70e1eb872610f92af7e41dfc10,MODIFY,executable,node_modules/@angular/compiler-cli/package 2.json,3140,36
1982a03d2d03ca70e1eb872610f92af7e41dfc10,MODIFY,executable,node_modules/@angular/compiler-cli/package.json,3140,36
27a2d228783769cd87fd6cfa70b6ae72f646b32b,MODIFY,executable,node_modules/@angular/compiler/package 2.json,2301,25
27a2d228783769cd87fd6cfa70b6ae72f646b32b,MODIFY,executable,node_modules/@angular/compiler/package.json,2301,25
b56b5b3b2d2915783bd843a6ad1d2c6b0d98b62a,MODIFY,executable,node_modules/@angular/core/package 2.json,3066,25
b56b5b3b2d2915783bd843a6ad1d2c6b0d98b62a,MODIFY,executable,node_modules/@angular/core/package.json,3066,25
45dbc7b14b6f9a4c56bb7e9bef63d3bf168ef672,MODIFY,executable,node_modules/@angular/forms/package 2.json,3144,25
45dbc7b14b6f9a4c56bb7e9bef63d3bf168ef672,MODIFY,executable,node_modules/@angular/forms/package.json,3144,25
0cc3338e1029e020f19b8b81b3c0c2087281a78e,MODIFY,executable,node_modules/@angular/material/package.json,2165,26
47b6733731f2a00bd9fb6ed53de5b12c33fb1a80,MODIFY,executable,node_modules/@angular/platform-browser-dynamic/package 2.json,3559,25
47b6733731f2a00bd9fb6ed53de5b12c33fb1a80,MODIFY,executable,node_modules/@angular/platform-browser-dynamic/package.json,3559,25
265c07c53997e397541419d9ce836cf7102c4a5e,MODIFY,executable,node_modules/@angular/platform-browser/package 2.json,3427,25
265c07c53997e397541419d9ce836cf7102c4a5e,MODIFY,executable,node_modules/@angular/platform-browser/package.json,3427,25
395cc7c85b47cdb060bf0ff146c79fad9d64ae6d,MODIFY,executable,node_modules/@angular/router/package 2.json,3211,25
395cc7c85b47cdb060bf0ff146c79fad9d64ae6d,MODIFY,executable,node_modules/@angular/router/package.json,3211,25
06a8dcc9ca83a20a80554f0da72bba7dfb83f380,MODIFY,regular-file,node_modules/@babel/code-frame/package 2.json,2062,34
06a8dcc9ca83a20a80554f0da72bba7dfb83f380,MODIFY,regular-file,node_modules/@babel/code-frame/package.json,2062,34
f023f3639e9945727828e3f3f1470e839f3a1efa,MODIFY,regular-file,node_modules/@babel/compat-data/node_modules/semver/package 2.json,1580,24
f023f3639e9945727828e3f3f1470e839f3a1efa,MODIFY,regular-file,node_modules/@babel/compat-data/node_modules/semver/package.json,1580,24
c122d78cc9927365105f92e96055fe3c8b688455,MODIFY,regular-file,node_modules/@babel/compat-data/package 2.json,2459,26
c122d78cc9927365105f92e96055fe3c8b688455,MODIFY,regular-file,node_modules/@babel/compat-data/package.json,2459,26
d3930bbda1ea070e7b72efd48482ffebc73727b3,MODIFY,regular-file,node_modules/@babel/core/node_modules/semver/package 2.json,1559,24
d3930bbda1ea070e7b72efd48482ffebc73727b3,MODIFY,regular-file,node_modules/@babel/core/node_modules/semver/package.json,1559,24
7db3e11168474237d0e713b62a02dd7d4d5c124f,MODIFY,regular-file,node_modules/@babel/core/node_modules/source-map/package 2.json,4820,24
7db3e11168474237d0e713b62a02dd7d4d5c124f,MODIFY,regular-file,node_modules/@babel/core/node_modules/source-map/package.json,4820,24
a473e82235f35b04dd5b898f84d6c879a078ecc4,MODIFY,regular-file,node_modules/@babel/core/package 2.json,2655,26
a473e82235f35b04dd5b898f84d6c879a078ecc4,MODIFY,regular-file,node_modules/@babel/core/package.json,2655,26
95449e6784d34c8a23a3f7660619c3143a444eab,MODIFY,regular-file,node_modules/@babel/generator/node_modules/source-map/package 2.json,4835,24
95449e6784d34c8a23a3f7660619c3143a444eab,MODIFY,regular-file,node_modules/@babel/generator/node_modules/source-map/package.json,4835,24
f8516462f03f687459bcab9bfd8a66c71390bd26,MODIFY,regular-file,node_modules/@babel/generator/package 2.json,1710,26
f8516462f03f687459bcab9bfd8a66c71390bd26,MODIFY,regular-file,node_modules/@babel/generator/package.json,1710,26
a9b96a874ea9a82e29314b05d7741f983e3dfaab,MODIFY,regular-file,node_modules/@babel/helper-annotate-as-pure/package 2.json,1873,28
a9b96a874ea9a82e29314b05d7741f983e3dfaab,MODIFY,regular-file,node_modules/@babel/helper-annotate-as-pure/package.json,1873,28
44464dd8a66a06c4d7bcfb2df1f51e55380cf7c2,MODIFY,regular-file,node_modules/@babel/helper-builder-binary-assignment-operator-visitor/package 2.json,2091,25
44464dd8a66a06c4d7bcfb2df1f51e55380cf7c2,MODIFY,regular-file,node_modules/@babel/helper-builder-binary-assignment-operator-visitor/package.json,2091,25
19e4309b1e637fac85004f0f4f12fe018d7103be,MODIFY,regular-file,node_modules/@babel/helper-compilation-targets/node_modules/semver/package 2.json,1625,24
19e4309b1e637fac85004f0f4f12fe018d7103be,MODIFY,regular-file,node_modules/@babel/helper-compilation-targets/node_modules/semver/package.json,1625,24
416aaae988418b3eb6344e50c803b36288014eb3,MODIFY,regular-file,node_modules/@babel/helper-compilation-targets/package 2.json,2159,25
416aaae988418b3eb6344e50c803b36288014eb3,MODIFY,regular-file,node_modules/@babel/helper-compilation-targets/package.json,2159,25
f6208ebd620e3c11e6594bc9ad86efe5007160d5,MODIFY,regular-file,node_modules/@babel/helper-create-regexp-features-plugin/package 2.json,2405,28
f6208ebd620e3c11e6594bc9ad86efe5007160d5,MODIFY,regular-file,node_modules/@babel/helper-create-regexp-features-plugin/package.json,2405,28
d34b3c119cce04d90c6b034e9007427cabe302de,MODIFY,regular-file,node_modules/@babel/helper-define-map/package 2.json,1688,25
d34b3c119cce04d90c6b034e9007427cabe302de,MODIFY,regular-file,node_modules/@babel/helper-define-map/package.json,1688,25
dcbd1ed6e5c0192469d43a7391cf4a3b3bdca791,MODIFY,regular-file,node_modules/@babel/helper-explode-assignable-expression/package 2.json,1956,25
dcbd1ed6e5c0192469d43a7391cf4a3b3bdca791,MODIFY,regular-file,node_modules/@babel/helper-explode-assignable-expression/package.json,1956,25
d0ce6bef9e9588adfada623cea50c81aac7671c8,MODIFY,regular-file,node_modules/@babel/helper-function-name/node_modules/@babel/template/package 2.json,1680,25
d0ce6bef9e9588adfada623cea50c81aac7671c8,MODIFY,regular-file,node_modules/@babel/helper-function-name/node_modules/@babel/template/package.json,1680,25
d6ffc087adad64f791c700f9aa0bfc76709c5a57,MODIFY,regular-file,node_modules/@babel/helper-function-name/package 2.json,1987,33
d6ffc087adad64f791c700f9aa0bfc76709c5a57,MODIFY,regular-file,node_modules/@babel/helper-function-name/package.json,1987,33
4422d9ebdf3afe843f16adb0b556c305492f85dd,MODIFY,regular-file,node_modules/@babel/helper-get-function-arity/package 2.json,1745,26
4422d9ebdf3afe843f16adb0b556c305492f85dd,MODIFY,regular-file,node_modules/@babel/helper-get-function-arity/package.json,1745,26
f4025bb6d09aee923e7dca61b3bea757b35caee2,MODIFY,regular-file,node_modules/@babel/helper-hoist-variables/package 2.json,1692,25
f4025bb6d09aee923e7dca61b3bea757b35caee2,MODIFY,regular-file,node_modules/@babel/helper-hoist-variables/package.json,1692,25
ceb07f104f47215ec3c6f022a097eab01bda0fb6,MODIFY,regular-file,node_modules/@babel/helper-member-expression-to-functions/package 2.json,1903,25
ceb07f104f47215ec3c6f022a097eab01bda0fb6,MODIFY,regular-file,node_modules/@babel/helper-member-expression-to-functions/package.json,1903,25
258e24ee85424bff0d3e4db87e2793e0cd4b408c,MODIFY,regular-file,node_modules/@babel/helper-module-imports/package 2.json,1917,28
258e24ee85424bff0d3e4db87e2793e0cd4b408c,MODIFY,regular-file,node_modules/@babel/helper-module-imports/package.json,1917,28
94c1c890a5f1df923a1f1bcd2c0597dd330362ee,MODIFY,regular-file,node_modules/@babel/helper-module-transforms/node_modules/@babel/template/package 2.json,1692,25
94c1c890a5f1df923a1f1bcd2c0597dd330362ee,MODIFY,regular-file,node_modules/@babel/helper-module-transforms/node_modules/@babel/template/package.json,1692,25
996aa7e06c0b5959d1e316f600f9e406adb654d4,MODIFY,regular-file,node_modules/@babel/helper-module-transforms/package 2.json,2232,33
996aa7e06c0b5959d1e316f600f9e406adb654d4,MODIFY,regular-file,node_modules/@babel/helper-module-transforms/package.json,2232,33
c7a2ab3b66fbe11e80c6b1d2040dba0dc0a76dc5,MODIFY,regular-file,node_modules/@babel/helper-optimise-call-expression/package 2.json,1816,26
c7a2ab3b66fbe11e80c6b1d2040dba0dc0a76dc5,MODIFY,regular-file,node_modules/@babel/helper-optimise-call-expression/package.json,1816,26
a1b10e899c2c0f88edd9bfd1adc29ab32a0287bb,MODIFY,regular-file,node_modules/@babel/helper-plugin-utils/package 2.json,3958,74
a1b10e899c2c0f88edd9bfd1adc29ab32a0287bb,MODIFY,regular-file,node_modules/@babel/helper-plugin-utils/package.json,3958,74
3003357681fee8d23c6e077a66ad621a7a6bbb5a,MODIFY,regular-file,node_modules/@babel/helper-regex/package 2.json,1636,26
3003357681fee8d23c6e077a66ad621a7a6bbb5a,MODIFY,regular-file,node_modules/@babel/helper-regex/package.json,1636,26
2e41fdecd6f62dd9f3f7e4610298dab97efbb92a,MODIFY,regular-file,node_modules/@babel/helper-remap-async-to-generator/node_modules/@babel/template/package 2.json,1713,25
2e41fdecd6f62dd9f3f7e4610298dab97efbb92a,MODIFY,regular-file,node_modules/@babel/helper-remap-async-to-generator/node_modules/@babel/template/package.json,1713,25
566310c5bbc76d155aa01524c98ef2b988aafb3c,MODIFY,regular-file,node_modules/@babel/helper-remap-async-to-generator/package 2.json,2166,30
566310c5bbc76d155aa01524c98ef2b988aafb3c,MODIFY,regular-file,node_modules/@babel/helper-remap-async-to-generator/package.json,2166,30
d533414404376d2ac766b827278cd4b827c0105c,MODIFY,regular-file,node_modules/@babel/helper-replace-supers/package 2.json,1901,27
d533414404376d2ac766b827278cd4b827c0105c,MODIFY,regular-file,node_modules/@babel/helper-replace-supers/package.json,1901,27
74338a6a83a9df696d7ab2bfa5e4736c27e0c771,MODIFY,regular-file,node_modules/@babel/helper-simple-access/node_modules/@babel/template/package 2.json,1680,25
74338a6a83a9df696d7ab2bfa5e4736c27e0c771,MODIFY,regular-file,node_modules/@babel/helper-simple-access/node_modules/@babel/template/package.json,1680,25
858fa6f542aef55d54dfa37544140622e8950fcb,MODIFY,regular-file,node_modules/@babel/helper-simple-access/package 2.json,1955,30
858fa6f542aef55d54dfa37544140622e8950fcb,MODIFY,regular-file,node_modules/@babel/helper-simple-access/package.json,1955,30
aadc1d3b89052d62ad0a5d8ce21eacb1ddd4c35e,MODIFY,regular-file,node_modules/@babel/helper-skip-transparent-expression-wrappers/package 2.json,2060,26
aadc1d3b89052d62ad0a5d8ce21eacb1ddd4c35e,MODIFY,regular-file,node_modules/@babel/helper-skip-transparent-expression-wrappers/package.json,2060,26
4597580d48be97ee2a3101fc8ef1568e14c0a86e,MODIFY,regular-file,node_modules/@babel/helper-split-export-declaration/package 2.json,1747,27
4597580d48be97ee2a3101fc8ef1568e14c0a86e,MODIFY,regular-file,node_modules/@babel/helper-split-export-declaration/package.json,1747,27
417a8ff529041c5c5ae5ffa29518b3c85187ca94,MODIFY,regular-file,node_modules/@babel/helper-validator-identifier/package 2.json,1783,26
417a8ff529041c5c5ae5ffa29518b3c85187ca94,MODIFY,regular-file,node_modules/@babel/helper-validator-identifier/package.json,1783,26
3c88f7d2a2229f726608a99a57bec580a7776dd9,MODIFY,regular-file,node_modules/@babel/helper-wrap-function/node_modules/@babel/template/package 2.json,1680,25
3c88f7d2a2229f726608a99a57bec580a7776dd9,MODIFY,regular-file,node_modules/@babel/helper-wrap-function/node_modules/@babel/template/package.json,1680,25
e216fcc0cce82fe1baeb8c46822a439369f3c6b8,MODIFY,regular-file,node_modules/@babel/helper-wrap-function/package 2.json,1892,29
e216fcc0cce82fe1baeb8c46822a439369f3c6b8,MODIFY,regular-file,node_modules/@babel/helper-wrap-function/package.json,1892,29
1e15111bdc15c5646a608a484d83339b3f9a455b,MODIFY,regular-file,node_modules/@babel/helpers/node_modules/@babel/template/package 2.json,1641,25
1e15111bdc15c5646a608a484d83339b3f9a455b,MODIFY,regular-file,node_modules/@babel/helpers/node_modules/@babel/template/package.json,1641,25
46887f79bd48c4b434d9aa44917c0e9d14bfcd20,MODIFY,regular-file,node_modules/@babel/helpers/package 2.json,1797,29
46887f79bd48c4b434d9aa44917c0e9d14bfcd20,MODIFY,regular-file,node_modules/@babel/helpers/package.json,1797,29
a5f7e15991c163a52e009b81cc7fdc326c118c0c,MODIFY,regular-file,node_modules/@babel/highlight/package 2.json,1710,25
a5f7e15991c163a52e009b81cc7fdc326c118c0c,MODIFY,regular-file,node_modules/@babel/highlight/package.json,1710,25
06c252e70d11cb96fbcb93b943e11206ca14fab1,MODIFY,regular-file,node_modules/@babel/parser/package 2.json,2300,33
06c252e70d11cb96fbcb93b943e11206ca14fab1,MODIFY,regular-file,node_modules/@babel/parser/package.json,2300,33
f75709a3e34a21ee6e71b198ef2ccb8fde15fee5,MODIFY,regular-file,node_modules/@babel/plugin-proposal-async-generator-functions/package 2.json,2202,25
f75709a3e34a21ee6e71b198ef2ccb8fde15fee5,MODIFY,regular-file,node_modules/@babel/plugin-proposal-async-generator-functions/package.json,2202,25
242ece65b88d7a2eac65caf5b907a2304b2d78cf,MODIFY,regular-file,node_modules/@babel/plugin-proposal-dynamic-import/package 2.json,1999,25
242ece65b88d7a2eac65caf5b907a2304b2d78cf,MODIFY,regular-file,node_modules/@babel/plugin-proposal-dynamic-import/package.json,1999,25
f0105f38fb6bc7c4559ae68c18691a7673f18ac9,MODIFY,regular-file,node_modules/@babel/plugin-proposal-json-strings/package 2.json,2018,25
f0105f38fb6bc7c4559ae68c18691a7673f18ac9,MODIFY,regular-file,node_modules/@babel/plugin-proposal-json-strings/package.json,2018,25
0525bb08e4d1efc8d4839fb2c9517e79322258e8,MODIFY,regular-file,node_modules/@babel/plugin-proposal-nullish-coalescing-operator/package 2.json,2159,25
0525bb08e4d1efc8d4839fb2c9517e79322258e8,MODIFY,regular-file,node_modules/@babel/plugin-proposal-nullish-coalescing-operator/package.json,2159,25
643c45ca8dcca711f290f69623ba0d76f18663f1,MODIFY,regular-file,node_modules/@babel/plugin-proposal-numeric-separator/package 2.json,2076,25
643c45ca8dcca711f290f69623ba0d76f18663f1,MODIFY,regular-file,node_modules/@babel/plugin-proposal-numeric-separator/package.json,2076,25
ea87dedce4b5cad3304d614310b936324016d07b,MODIFY,regular-file,node_modules/@babel/plugin-proposal-object-rest-spread/package 2.json,2107,25
ea87dedce4b5cad3304d614310b936324016d07b,MODIFY,regular-file,node_modules/@babel/plugin-proposal-object-rest-spread/package.json,2107,25
39da76d1059fe67c3523e218337a1bf9e157f84f,MODIFY,regular-file,node_modules/@babel/plugin-proposal-optional-catch-binding/package 2.json,2096,25
